Name,Rank,Fire Department,Date of Death,Location on Memorial
Michael F. Lynch,Firefighter ,New York City Fire Department,09/11/2001,16 Bottom
Michael F. Lynch,Lieutenant,New York City Fire Department,09/11/2001,15 Bottom
Michael Flynn,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
Michael F. Mongelli ,Firefighter ,New York City Fire Department ,08/03/2012,   1 Bottom 
Michael G. Behette ,Firefighter ,New York City Fire Department ,09/17/2012,  3 Top
Michael G. Catanzaro,Firefighter,Buffalo Fire Department,12/27/1983,12 Top
Michael Gillen,Engineer,Troy Fire Department,06/22/1890,14 Bottom
Michael G. McGee,"Sergeant, Fire Patrol",NYBFU/stationed with FDNY,02/14/1958,18 Bottom
Michael G. Montesi,Firefighter,New York City Fire Department,09/11/2001,12 Bottom
Michael H. Haub,Firefighter,New York City Fire Department,09/11/2001,20 Bottom
Michael J. Berkery,Firefighter,New York City Fire Department,06/14/1946,15 Top
Michael J. Cawley,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Michael J. Chiapperini,Firefighter,West Webster Fire Department,12/24/2012,12 Top
Michael J. Clarke,Firefighter,New York City Fire Department,09/11/2001,  4 Top
Michael J. Dickinson,Firefighter,South Glens Falls Fire Department,04/17/1970,  6 Top
Michael J. Elferis,Firefighter,New York City Fire Department,09/11/2001,18 Top
Michael J. Fahy ,Deputy Chief ,New York City Fire Department,09/27/2016,  4 Top
Michael J. Gorumba,Firefighter,Garden City Fire Department,08/28/2001,  6 Bottom
Michael J. Greene,"Firefighter, Ex-Captain",West Babylon Fire Department,06/16/2006,  2 Top
Michael J. Higgins,Chief,Albany Fire Department,02/11/1911,  5 Bottom
Michael J. Lyons,Firefighter,New York City Fire Department,09/11/2001,21 Bottom
Michael J. McNamara,Hoseman,Albany Fire Department,11/21/1870,17 Bottom
Michael J. Mulvey,Firefighter,New York City Fire Department,03/07/1937,18 Top
Michael J. Nolan,Firefighter,New York City Fire Department,05/03/1888,15 Bottom
Michael J. O’Toole,Firefighter,New York City Fire Department,12/26/1902,13 Bottom
Michael J. Otten,Firefighter,New York City Fire Department,09/11/2001,14 Bottom
Michael J. Shields,Lieutenant,New York City Fire Department,01/26/1962,12 Bottom
Michael K. Healy,Lieutenant,New York City Fire Department,09/11/2001,13 Bottom
Michael Klein,Firefighter,New York City Fire Department,05/07/1960,13 Top
Michael Kristal,Inspector,New York City Fire Department,08/30/1944,  5 Bottom
Michael L. Austin,Firefighter,Buffalo Fire Department,12/27/1983,12 Top
Michael L. Bocchino,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Michael L. Duffy ,Firefighter ,New York City Fire Department ,08/08/2017,  2 Top
Michael L. Seguin,Firefighter,Buffalo Fire Department,07/04/1997,10 Top
Michael Ludwig,Firefighter,Syracuse Fire Department,01/14/1971,  7 Top
Michael McCarthy,Captain,Buffalo Fire Department,12/06/1925,  5 Top
Michael Michelotti,Firefighter,New York City Fire Department,03/12/1950,15 Top
Michael M. Karkel,Firefighter,New York City Fire Department,02/26/1920,  6 Top
Michael Moran,Captain,Valley Stream Fire Department,12/08/1979,  9 Top
Michael Moschenross,Firefighter,Glenwood Fire Department,12/18/1989,11 Top
Michael Neuner,Lieutenant,Brewster Fire Department,06/22/1997,10 Top
Michael N. Fodor,Lieutenant,New York City Fire Department,09/11/2001,21 Top
Michael O’Brien,Driver,Buffalo Fire Department,01/12/1894,14 Bottom
Michael O’Brien,Firefighter,New York City Fire Department,10/30/1853,18 Bottom
Michael O. Glynn,Lieutenant,New York City Fire Department,10/22/1967,  9 Bottom
Michael P. Esposito ,Firefighter ,Baldwin Fire Department ,05/18/2011,15 Top
Michael Petragnani,Firefighter,Syracuse Fire Department,04/09/1978,  9 Top
Michael P. Ragusa,Firefighter,New York City Fire Department,09/11/2001,11 Bottom
Michael P. Smith ,Firefighter ,New York City Fire Department ,12/25/2015,  4 Bottom
Michael R. Davidson ,Lieutenant ,New York City Fire Department ,03/23/2018,  1 Bottom
Michael Rogers,Firefighter,Syracuse Fire Department,10/12/1887,15 Bottom
Michael R. O’Hanlon ,Firefighter ,New York City Fire Department ,08/28/2017,15 Bottom
Michael R. Tracy,"Patrolman, Fire Patrol",South Glens Falls Fire Department,02/14/1958,19 Top
Michael R. Warchola,Lieutenant,New York City Fire Department,09/11/2001,  7 Bottom
Michael S. Carlo,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Michael Schmidt,Firefighter,Buffalo Fire Department,12/05/1925,  5 Top
Michael Sheehan,Firefighter,Buffalo Fire Department,12/09/1944,16 Top
Michael Smith,Firefighter,West Seneca Fire Department,09/04/1977,  8 Top
Michael Snyder,Captain,New York City Fire Department,05/16/1868,17 Bottom
Michael Sofia ,Firefighter ,New York City Fire Department ,09/01/2005,  2 Top
Michael T. Carr,Firefighter,New York City Fire Department,09/19/1969,  9 Bottom
Michael T. Carroll,Firefighter,New York City Fire Department,09/11/2001,  3  Bottom
Michael T. Quilty,Lieutenant,New York City Fire Department,09/11/2001,16 Bottom
Michael T. Russo,Lieutenant,New York City Fire Department,09/11/2001,  9 Bottom
Michael T. Weinberg,Firefighter,New York City Fire Department,09/11/2001,14 Bottom
Michael V. Kiefer,Firefighter,New York City Fire Department,09/11/2001,19 Top
Michael Wall,Firefighter,New York City Fire Department,02/03/1918,  2 Top
Michael W. Tarpey,Lieutenant,New York City Fire Department,10/01/1945,16 Top
Michael Zerrilla,Firefighter,Ossining Fire Department,12/04/1966,  9 Bottom
Mike J. Cunningham,Firefighter,New York City Fire Department,05/12/1927,  5 Top
Miles J. Rutyna,Firefighter,Yonkers Fire Department,07/01/1957,16 Top
Miles L. Swoarby,Firefighter,New York City Fire Department,08/27/1867,17 Bottom
Milford H. Ottmann,Captain,Rockville Centre Fire Department,07/28/1933,10 Bottom
Milton F. Meisner,Firefighter,Attica Fire Department,02/16/1922,10 Bottom
Milton North,Firefighter,Elbridge Fire Department,01/01/1976,  8 Top
Mitchel E. Spoth,Firefighter,East Amherst Fire Department,01/11/1985,12 Top
Morris Graf,Firefighter,New York City Fire Department,01/22/1945,15 Top
Mortimer A. Roberts,Firefighter,New York City Fire Department,02/06/1901,13 Bottom
Moses W. Embler,Firefighter,Newburgh City Fire Department,08/30/1904,21 Top
"Mychal F. Judge, O.F.M.",Chaplain,New York City Fire Department,09/11/2001,  4 Top
Myron F. VanBuskirk,Assistant Chief,Baldwinsville Fire Department,10/22/1954,14 Top
"Myron Hickok, Sr.",Firefighter,Fayetteville Fire Department,02/11/1959,  7 Bottom
Nathan C. Howell,Firefighter,Southampton Fire Department,01/01/1918,  2 Top
Nathan E. Olmstead,Chief,Camden Fire Department,05/21/1959,13 Top
Nathaniel Brown,Firefighter,New York City Fire Department,09/25/1832,20 Bottom
Nathan Levine,Firefighter,New York City Fire Department,02/22/1947,15 Top
Nathan Riley,Firefighter,Buffalo Fire Department,08/12/1909,  5 Bottom
Neil Hyland,Firefighter,Massapequa Fire Department,03/02/1995,10 Top
Neil J. Leavy,Firefighter,New York City Fire Department,09/11/2001,  9 Bottom
Nelson Carpenter,Firefighter,Poland Volunteer Fire Department,09/16/1964,  6 Bottom  
Nelson L. Tuite,Firefighter,New York City Fire Department,01/09/1945,15 Top
Nicholas J. DeMasi ,Firefighter ,New York City Fire Department ,10/21/2015,20 Top
Nicholas P. Chiofalo,Firefighter,New York City Fire Department,09/11/2001,13 Bottom
Nicholas P. Rossomando,Firefighter,New York City Fire Department,09/11/2001,18 Top
Nicholas Taska,Firefighter,Pawling Fire Department,02/05/1969,  7 Top
Nickolas Marzen,Firefighter,Huntington Manor Fire Department,04/06/1930,10 Bottom
Norman J. Rowe,Captain,Syracuse Fire Department,07/07/1989,11 Top
Norman Lester,Firefighter,Schenectady Fire Department,12/13/1960,12 Bottom
Norman Schunk,Fire Police,East Eden Fire Department,01/09/1993,10 Top
"Olin L. Blair, Jr.",Firefighter,New York City Fire Department,08/19/1964,11 Bottom
Oliver G. Davison,Captain,Babylon Fire Department,03/11/1967,  9 Bottom
Oliver G. O’Dell,Firefighter,New Rochelle Fire Department,12/05/1940,17 Top
O. M. Wilson,Firefighter,New York City Fire Department,04/24/1854,18 Bottom
Orestes Hantjiles,Lieutenant,New York City Fire Department,11/28/1959,13 Top
Orio J. Palmer,Deputy Chief,New York City Fire Department,09/11/2001,14 Bottom
Oscar Dixon,Firefighter,Selden Fire Department,10/27/1973,  3 Top
Oscar F. Dell,Firefighter,Rush Fire Department,01/07/1988,11 Top
Oscar H. Bloom,Firefighter,Jamestown Fire Department,06/13/1934,10 Bottom
Otto Lindemann,Ex-Captain,Spring Valley Fire Department,01/29/1928,13 Bottom
Paavo J. Siivonen,Firefighter,Oneida Fire Department,09/26/1963,11 Bottom
Packey Radigan,Lieutenant,New York City Fire Department,12/26/1952,14 Top
Patrick A. Dougherty,Firefighter,Troy Fire Department,04/22/1934,19 Top
Patrick Bardin,Captain,Newburgh Fire Department,12/27/1970,  8 Bottom
Patrick Clark,Firefighter,New York City Fire Department,01/01/1880,16 Bottom
Patrick Conlin,Firefighter,New York City Fire Department,06/09/1895,14 Bottom
Patrick Daly,Firefighter,New York City Fire Department,11/26/1925,  5 Top
Patrick D. Byrne,Firefighter,New York City Fire Department,09/11/2001,  9 Bottom
Patrick Devlin,Firefighter,New York City Fire Department,05/29/1940,17 Top
Patrick Donnelly,Ladderman,Rochester Fire Department,07/04/1926,  5 Top
Patrick Heavey,Firefighter,Rochester Fire Department,11/21/1857,17 Bottom
Patrick J. Brown,Captain,New York City Fire Department,09/11/2001,  7 Bottom
Patrick J. Cleary,Firefighter,New York City Fire Department,05/30/1976,  8 Top
Patrick J. LaGambino,Firefighter,Auburn City Fire Department,05/12/1973,  7 Top
Patrick J. Lee,Firefighter,New York City Fire Department,05/16/1919,  1 Top
Patrick J. Lyons,Lieutenant,New York City Fire Department,09/11/2001,14 Bottom
Patrick J. Maloney,Firefighter,New York City Fire Department,08/03/1933,20 Top
Patrick J. O’Keefe,Firefighter,New York City Fire Department,09/11/2001,  7 Bottom
Patrick J. Quail,Firefighter,New York City Fire Department,10/11/1902,13 Bottom
Patrick J. Sullivan ,Lieutenant ,New York City Fire Department ,06/16/2012,  1 Bottom
Patrick J. Waters,Captain,New York City Fire Department,09/11/2001,  8 Bottom
Patrick Lafferty,Firefighter,Greenville Fire Department,10/12/1993,10 Top
Patrick Lennon,Firefighter,New York City Fire Department,12/01/1904,13 Bottom
Patrick McKeon,Lieutenant,New York City Fire Department,10/25/1938,18 Top
Patrick O’Connor,Firefighter,New York City Fire Department,04/12/1917,  3 Top
Patrick O’Keefe,Firefighter,New York City Fire Department,03/06/1943,16 Top
"Patrick S. Joyce, Jr. ",Firefighter ,Yonkers Fire Department ,10/02/2009,  2 Bottom
Paul Alle,Chief,Ashland Fire Department,09/12/1960,  7 Bottom
Paul A. MacMurray,Firefighter,Hudson Falls Fire Department,08/27/1994,10 Top
Paul A. Tegtmeier,Firefighter,New York City Fire Department,09/11/2001,12 Bottom
Paul C. Wrigley,Firefighter,New York City Fire Department,05/16/1958,13 Top
Paul D. Wilson,Firefighter,Evans Mills Fire Department,07/07/1940,  8 Bottom
"Paul E. Caywood, Sr.",Assistant Chief,Fabius Fire Department,09/29/1990,11 Top
"Paul E. Ryf, Jr.",Chief,Franklin Square & Munson Fire Department,03/23/1932,10 Bottom
Paul E. Savoir,Assistant Chief,Constable Fire Department,04/30/1998,16 Bottom
Paul Feeney,Firefighter,Cold Spring Fire Company,06/30/1979,  9 Top
Paul F. Santoro ,Firefighter ,New York City Fire Department ,10/15/2016,18 Top
Paul G. Ruback,Firefighter,New York City Fire Department,09/11/2001,14 Bottom
Paul H. Keating,Firefighter,New York City Fire Department,09/11/2001,  5 Top
Paul J. Gill,Firefighter,New York City Fire Department,09/11/2001,15 Bottom
Paul J. Pansini,Fire Marshal,New York City Fire Department,09/11/2001,11 Bottom
Paul M. Beyer,Firefighter,New York City Fire Department,09/11/2001,  6 Top
Paul P. Shannon,Firefighter,Yonkers Fire Department,11/20/1986,12 Top
Paul R. Brady,Firefighter,Melverne Fire Department,07/30/2006,12 Bottom
Paul R. Cady,Firefighter,New York City Fire Department,01/13/1960,13 Top
Paul R. Martini,Lieutenant,New York City Fire Department,09/11/2001,10 Bottom
Paul Siegert,Firefighter,Buffalo Fire Department,07/06/1912,  4 Bottom
Paul T. Mitchell,Lieutenant,New York City Fire Department,09/11/2001,15 Bottom
Paul Warhola ,Firefighter ,New York City Fire Department ,08/14/2009,21 Bottom
Paul Wishmeyer,Lieutenant,Saint Paul Boulevard Fire Department,04/15/1960,19 Top
P. Ellsworth Rude,Assistant Chief,Fulton Fire Department,06/12/1927,  5 Top
Percy Smith,Firefighter,Jonesville Fire Department,06/12/1946,  4 Bottom
Perry R. Peterson,Deputy Chief,New York City Fire Department,01/07/1968,  9 Bottom
Peter A. Bielfeld,Firefighter,New York City Fire Department,09/11/2001,  3 Bottom
Peter A. Carey,Firefighter,Kingston Fire Department,05/15/1937,18 Top
Peter A. Cervini,Firefighter,New York City Fire Department,02/16/1964,11 Bottom
Peter A. Daly,Firefighter,New York City Fire Department,08/01/1932,20 Top
Peter A. Nelson,Firefighter,New York City Fire Department,09/11/2001,  1 Top
Peter A. Vega,Firefighter,New York City Fire Department,09/11/2001,  1 Bottom
Peter Bradley,Firefighter,New York City Fire Department,07/18/1955,17 Top
Peter Brennan,Firefighter,New York City Fire Department,09/11/2001,  4 Bottom
Peter C. Martin,Lieutenant,New York City Fire Department,09/11/2001,  1 Top
Peter Dunn,Firefighter,Troy Fire Department,12/16/1844,19 Bottom
Peter E. Farley,Firefighter,New York City Fire Department,08/16/1949,15 Top
Peter E. Hotaling,Firefighter,Claverack Fire Department,10/05/2005,   4 Top
Peter Engel,Firefighter,New York City Fire Department,01/05/1950,14 Top
Peter F. Bowen,Firefighter,New York City Fire Department,03/24/1900,13 Bottom
Peter F. McLaughlin,Firefighter,New York City Fire Department,10/08/1995,10 Top
Peter G. Peila,Firefighter,New York City Fire Department,02/13/1957,13 Top
Peter H. Kahn,Firefighter,Trumansburg Fire Department,02/16/1997,10 Top
Peter H. Walsh,Firefighter,New York City Fire Department,05/21/1866,17 Bottom
"Peter J. Brennan, Jr.",Captain,New York City Fire Department,05/15/1963,11 Bottom
Peter J. Canelli,Lieutenant,New York City Fire Department,02/16/1987,11 Top
Peter J. Carroll,Firefighter,New York City Fire Department,09/11/2001,  3  Top
Peter J. Casey ,Captain` ,New York City Fire Department ,07/03/2013,  4 Top
Peter J. Cusumano,Firefighter,New York City Fire Department,09/25/1972,  7 Top
Peter J. Daley,Firefighter,New York City Fire Department,07/18/1955,14 Top
Peter J. Dannhardt,Firefighter,New York City Fire Department,07/04/1943,16 Top
Peter J. Farrenkopf ,Lieutenant ,New York City Fire Department,10/18/2009,  3 Bottom
Peter J. Gaffeney,Firefighter,New York City Fire Department,01/31/1904,  3 Bottom
"Peter J. Ganci, Jr.",Chief,New York City Fire Department,09/11/2001,  2 Top
Peter J. Harmon,Firefighter,New York City Fire Department,09/24/1937,18 Top
Peter J. Langone,Firefighter,New York City Fire Department,09/11/2001,  5 Bottom
Peter J. Moody,Firefighter,Lynbrook Fire Department,05/02/1963,11 Bottom
Peter J. Parks,Firefighter,New York City Fire Department,02/23/1927,  5 Top
Peter L. Freund,Lieutenant,New York City Fire Department,09/11/2001,  2 Bottom
Peter Lund,Firefighter,Woodmere Fire Department,06/14/2005,   4 Bottom
Peter McKeon,Firefighter,New York City Fire Department,02/11/1895,14 Bottom
Peter S. Clark,Firefighter,New York City Fire Department,09/11/1904,13 Bottom
Peter Simpson,Firefighter,Nanuet Fire Engine Company,06/22/1957,  7 Bottom
Philip Eckel,Chief,Syracuse Fire Department,06/01/1886,15 Bottom
Philip Fournier,Firefighter,Valley Stream Fire Department,09/19/1948,15 Top
Philip F. Roos,Firefighter,Mount Vernon Fire Department,12/04/1972,  7 Top
Philip Laino,Firefighter,Rocky Point Fire Department,01/01/1962,12 Bottom
Philip S. Petti,Lieutenant,New York City Fire Department,09/11/2001,  7 Top
Philip T. Hayes,Fire Safety Director WTC,"World Trade Center, Engine 217",09/11/2001,  3 Bottom
Phillip Bickell,Firefighter,Rome Fire Department,07/31/1866,  6 Top
Phillip C. D’ Adamo,Firefighter,New York City Fire Department,12/01/1984,12 Top
Phillip Cohen,Firefighter,Long Beach Fire Department,01/01/1975,  8 Top
Phillip C. Smith,Firefighter,New York City Fire Department,10/05/1968,  9 Bottom
"Phillip H. Baker, Sr.",Ex-Chief ,North Patchogue Fire Department,12/16/1987,11 Top
Phillip Holton,Firefighter,New York City Fire Department,07/29/1880,16 Bottom
Phillip J. Maus,Firefighter,New York City Fire Department,09/14/1875,16 Bottom
Phillip W. Hublitz,Captain,New York City Fire Department,11/13/1939,17 Top
Pierce English,Firefighter,New York City Fire Department,01/07/1898,13 Bottom
P. Joseph Connolly,Battalion Chief,New York City Fire Department,08/22/1962,12 Top
Preston L. DeWitt,Firefighter,Kingston Fire Department,05/15/1937,18 Top
Ralph D. Transue,Chief,Vestal Fire Department,11/23/1941,  5 Top
"Ralph E. Hager, Jr.",Firefighter,Shortsville Fire Department,09/19/1984,12 Top
Ralph J. Osterhout,Ex-Chief,Broadalbin Fire Department,08/10/1981,12 Top
"Ralph Oralls, Jr.",Firefighter,Oxford Fire Department,01/02/2000,  6 Bottom
Ralph Walston,Firefighter,Oyster Bay Fire Department,04/20/1928,13 Bottom
Randolph A. Ervin,Firefighter,Gates-Chili Fire Department,11/02/1964,  9 Top
Randolph F. Belcher,Firefighter,Horseheads Fire Department,06/21/1991,11 Top
Randy J. Wiebicke ,Lieutenant ,New York City Fire Department ,03/02/2011,21 Bottom
Raphael A. Fox,Firefighter,New York City Fire Department,10/01/1916,  3 Top
Raymond Abrams,Ex-Chief,Lynbrook Fire Department,06/30/1946,15 Top
Raymond Cauxx,Firefighter,Mohegan Lake Fire Department,04/19/1963,11 Bottom
Raymond Cosgrove,Firefighter,New York City Fire Department,01/02/1942,17 Top
Raymond E. Bauder,Lieutenant,Syracuse Fire Department,02/03/1939,17 Top
Raymond E. Murphy,Lieutenant,New York City Fire Department,09/11/2001,  3 Top
Raymond F. Farrell,Firefighter,New York City Fire Department,08/21/1923,14 Bottom
Raymond F. Kihlmire,Firefighter,Poughkeepsie Fire Department,04/18/1971,  8 Bottom
Raymond F. Schiebel,Lieutenant,New York City Fire Department,03/07/1995,10 Top
Raymond H. Brooder,Lieutenant,Corning Fire Department,01/04/1964,11 Bottom 
Raymond H. Place,Firefighter,Catskill Fire Department,01/04/1974,20 Bottom
Raymond J. Pfeifer ,Firefighter ,New York City Fire Department ,05/28/2017,17 Bottom
